正在读取文件...
add.txt 条目数: 513
modify.txt 条目数: 99

add.txt 中独有的条目（共 414 条）:
------------------------------------------------------------
U+f991 => 0x93d3 | lookup=U+649a
U+f992 => 0x9d69 | lookup=U+6f23
U+f993 => 0x9f92 | lookup=U+7149
U+f994 => 0xad49 | lookup=U+7489
U+f996 => 0xbe9a | lookup=U+7df4
U+f997 => 0xc293 | lookup=U+806f
U+f998 => 0xdd82 | lookup=U+8f26
U+f999 => 0xc98f | lookup=U+84ee
U+f99a => 0xdf42 | lookup=U+9023
U+f99b => 0xe580 | lookup=U+934a
U+f99c => 0xc1d0 | lookup=U+5217
U+f99d => 0xc1d3 | lookup=U+52a3
U+f99e => 0xd1ca | lookup=U+54bd
U+f99f => 0xc1d2 | lookup=U+70c8
U+f9a0 => 0xc1d1 | lookup=U+88c2
U+f9a1 => 0xd566 | lookup=U+8aaa
U+f9a2 => 0xc1ae | lookup=U+5ec9
U+f9a3 => 0xc4ee | lookup=U+5ff5
U+f9a4 => 0xc4ed | lookup=U+637b
U+f9a5 => 0x9a9a | lookup=U+6bae
U+f9a6 => 0xba9f | lookup=U+7c3e
U+f9a7 => 0xab43 | lookup=U+7375
U+f9a8 => 0xc1ee | lookup=U+4ee4
U+f9a9 => 0xe0f2 | lookup=U+56f9
U+f9aa => 0x8c8e | lookup=U+5be7
U+f9ab => 0x8e58 | lookup=U+5dba
U+f9ac => 0xc1af | lookup=U+601c
U+f9ad => 0xc1e1 | lookup=U+73b2
U+f9ae => 0xac93 | lookup=U+7469
U+f9af => 0xc1e7 | lookup=U+7f9a
U+f9b0 => 0xf1f6 | lookup=U+8046
U+f9b1 => 0xe28f | lookup=U+9234
U+f9b2 => 0xc1e3 | lookup=U+96f6
U+f9b3 => 0xec60 | lookup=U+9748
U+f9b4 => 0xee49 | lookup=U+9818
U+f9b5 => 0xc0fd | lookup=U+4f8b
U+f9b6 => 0xb659 | lookup=U+79ae
U+f9b7 => 0xf5b7 | lookup=U+91b4
U+f9b8 => 0xeb60 | lookup=U+96b8
U+f9b9 => 0x90ba | lookup=U+60e1
U+f9ba => 0xc1cb | lookup=U+4e86
U+f9bb => 0xc1c5 | lookup=U+50da
U+f9bc => 0xe5bc | lookup=U+5bee
U+f9bd => 0xc4f2 | lookup=U+5c3f
U+f9be => 0xc1cf | lookup=U+6599
U+f9bf => 0x98b7 | lookup=U+6a02
U+f9c0 => 0xc1c7 | lookup=U+71ce
U+f9c1 => 0xaf9f | lookup=U+7642
U+f9c2 => 0xdea4 | lookup=U+84fc
U+f9c3 => 0xdf7c | lookup=U+907c
U+f9c4 => 0xfd88 | lookup=U+9f8d
U+f9c5 => 0x959e | lookup=U+6688
U+f9c6 => 0xc8ee | lookup=U+962e
U+f9c7 => 0x84a2 | lookup=U+5289
U+f9c8 => 0x9683 | lookup=U+677b
U+f9c9 => 0xc1f8 | lookup=U+67f3
U+f9ca => 0xc1f7 | lookup=U+6d41
U+f9cb => 0xc1ef | lookup=U+6e9c
U+f9cc => 0xc1f0 | lookup=U+7409
U+f9cd => 0xc1f4 | lookup=U+7559
U+f9ce => 0xc1f2 | lookup=U+786b
U+f9cf => 0xbc7e | lookup=U+7d10
U+f9d0 => 0xee90 | lookup=U+985e
U+f9d1 => 0xc1f9 | lookup=U+516d
U+f9d2 => 0xc2be | lookup=U+622e
U+f9d3 => 0xea91 | lookup=U+9678
U+f9d4 => 0x8290 | lookup=U+502b
U+f9d5 => 0x8d91 | lookup=U+5d19
U+f9d6 => 0x9c53 | lookup=U+6dea
U+f9d7 => 0xdd86 | lookup=U+8f2a
U+f9d8 => 0xc2c9 | lookup=U+5f8b
U+f9d9 => 0x90fc | lookup=U+6144
U+f9da => 0xc0f5 | lookup=U+6817
U+f9db => 0xc2ca | lookup=U+7387
U+f9dc => 0xc2a1 | lookup=U+9686
U+f9dd => 0xc0fb | lookup=U+5229
U+f9de => 0xc0f4 | lookup=U+540f
U+f9df => 0xc2c4 | lookup=U+5c65
U+f9e0 => 0xd2d7 | lookup=U+6613
U+f9e1 => 0xc0ee | lookup=U+674e
U+f9e2 => 0xc0e6 | lookup=U+68a8
U+f9e3 => 0xc4e0 | lookup=U+6ce5
U+f9e4 => 0xc0ed | lookup=U+7406
U+f9e5 => 0xc1a1 | lookup=U+75e2
U+f9e6 => 0xeebe | lookup=U+7f79
U+f9e8 => 0xd165 | lookup=U+88e1
U+f9e9 => 0xc0ef | lookup=U+91cc
U+f9ea => 0xeb78 | lookup=U+96e2
U+f9eb => 0xc4e4 | lookup=U+533f
U+f9ec => 0xc4e7 | lookup=U+6eba
U+f9ed => 0xc1df | lookup=U+541d
U+f9ee => 0x9ffb | lookup=U+71d0
U+f9ef => 0xad55 | lookup=U+7498
U+f9f0 => 0xcc41 | lookup=U+85fa
U+f9f2 => 0xf75b | lookup=U+9c57
U+f9f3 => 0xf7eb | lookup=U+9e9f
U+f9f4 => 0xc1d6 | lookup=U+6797
U+f9f5 => 0xc1dc | lookup=U+6dcb
U+f9f6 => 0xc552 | lookup=U+81e8
U+f9f7 => 0xc1a2 | lookup=U+7acb
U+f9f8 => 0xf3d2 | lookup=U+7b20
U+f9f9 => 0xc1a3 | lookup=U+7c92
U+f9fa => 0xa0ee | lookup=U+72c0
U+f9fb => 0xd6cb | lookup=U+7099
U+f9fc => 0xd752 | lookup=U+8b58
U+f9fd => 0xcab2 | lookup=U+4ec0
U+f9fe => 0xb2e8 | lookup=U+8336
U+f9ff => 0xb4cc | lookup=U+523a
U+fa00 => 0xc7d0 | lookup=U+5207
U+fa01 => 0xb6c8 | lookup=U+5ea6
U+fa02 => 0xcdd8 | lookup=U+62d3
U+fa03 => 0xccc7 | lookup=U+7cd6
U+fa04 => 0xd5ac | lookup=U+5b85
U+fa05 => 0xb6b4 | lookup=U+6d1e
U+fa06 => 0xb1a9 | lookup=U+66b4
U+fa07 => 0xdd97 | lookup=U+8f3b
U+fa08 => 0xd0d0 | lookup=U+884c
U+fa09 => 0xbdb5 | lookup=U+964d
U+fa0a => 0xd28a | lookup=U+898b
U+fa0b => 0xc0aa | lookup=U+5ed3
U+fa10 => 0x8956 | lookup=U+585a
U+fa12 => 0xc7e7 | lookup=U+6674
U+fa15 => 0x8444 | lookup=U+51de
U+fa16 => 0xd869 | lookup=U+8c6c
U+fa17 => 0xd2e6 | lookup=U+76ca
